,Time,Actual Query Time,Origin Latitude,Origin Longitude,Origin Address,Destination Latitude,Destination Longitude,Destination Address,Distance,Traffic Time,Normal Time
0,2019-11-17 17:38:55.261089,2019-11-17 17:38:55.622602,33.72636,-84.447824,"1060 Cascade Cir SW, Atlanta, GA 30311, USA",33.72636,-84.442824,"1673 Kenmore St SW, Atlanta, GA 30311, USA",401.0,401.0,556.0
1,2019-11-17 17:38:55.261089,2019-11-17 17:38:56.289242,33.72636,-84.447824,"1060 Cascade Cir SW, Atlanta, GA 30311, USA",33.72636,-84.447824,"1060 Cascade Cir SW, Atlanta, GA 30311, USA",0.0,0.0,0.0
2,2019-11-17 17:38:55.261089,2019-11-17 17:38:56.466348,33.72636,-84.442824,"1673 Kenmore St SW, Atlanta, GA 30311, USA",33.72636,-84.447824,"1060 Cascade Cir SW, Atlanta, GA 30311, USA",441.0,441.0,556.0
3,2019-11-17 17:38:55.261089,2019-11-17 17:38:56.777697,33.72636,-84.442824,"1673 Kenmore St SW, Atlanta, GA 30311, USA",33.72636,-84.437824,"1055 Westmont Rd SW, Atlanta, GA 30311, USA",767.0,767.0,981.0
4,2019-11-17 17:38:55.261089,2019-11-17 17:38:56.944888,33.72636,-84.442824,"1673 Kenmore St SW, Atlanta, GA 30311, USA",33.72636,-84.442824,"1673 Kenmore St SW, Atlanta, GA 30311, USA",0.0,0.0,0.0
5,2019-11-17 17:38:55.261089,2019-11-17 17:38:57.100029,33.72636,-84.437824,"1055 Westmont Rd SW, Atlanta, GA 30311, USA",33.72636,-84.442824,"1673 Kenmore St SW, Atlanta, GA 30311, USA",706.0,706.0,981.0
6,2019-11-17 17:38:55.261089,2019-11-17 17:38:57.388088,33.72636,-84.437824,"1055 Westmont Rd SW, Atlanta, GA 30311, USA",33.72636,-84.432824,"1375 Almont Dr SW, Atlanta, GA 30310, USA",1783.0,1783.0,2306.0
7,2019-11-17 17:38:55.261089,2019-11-17 17:38:57.570208,33.72636,-84.437824,"1055 Westmont Rd SW, Atlanta, GA 30311, USA",33.72636,-84.437824,"1055 Westmont Rd SW, Atlanta, GA 30311, USA",0.0,0.0,0.0
8,2019-11-17 17:38:55.261089,2019-11-17 17:38:57.786138,33.72636,-84.432824,"1375 Almont Dr SW, Atlanta, GA 30310, USA",33.72636,-84.437824,"1055 Westmont Rd SW, Atlanta, GA 30311, USA",1697.0,1697.0,2351.0
9,2019-11-17 17:38:55.261089,2019-11-17 17:38:58.056102,33.72636,-84.432824,"1375 Almont Dr SW, Atlanta, GA 30310, USA",33.72636,-84.427824,"1215 Bridges Ave SW, Atlanta, GA 30310, USA",327.0,327.0,462.0
